SKU,Product name,Description & Features,Selling Price,Brand,Category
TABLI168082,Cordless blower,"Voltage:16V
No-load speed :0-13000rpm
Average air volume:5m3/min
Maximum air speed:50m/s
Include:
2 Pcs 2.0Ah battery pack(TFBLI1620)
1 Pcs M16 charger(TFCLI1613)
Charge volts:220-240V~50/60Hz
Packed by color box",22000,TOTAL,Power Tools
TLL301201,Cordless 3D laser level,"Green laser level
Voltage: 16V
Working range: 0~35 m
Self-levelling angle: ≤4°
Laser class II: <1mW
1 Pcs 360° horizontal and 2 pcs 360° vertical laser line
Operating temperature: 0~+40℃
Storage temperature: -10~+50℃
Include:
1 Pcs magnetic liftable rotating stand
1 Pcs rotary base with 3 pcs adjustable feet
1 Pcs laser target plate
1 Pcs glasses
1 Pcs remote control
1 Pcs 2.0Ah battery pack (TFBLI1620)
1 Pcs charger (TFCLI1613)
Charge volts: 220-240V~50/60Hz
Packed by plastic box",44000,TOTAL,Measuring & Layout
TFBLI20011,Cordless battery pack,"Volts:20V
Lithium-Ion 2.0Ah battery
LED battery power indicator
One battery fits all P20S multiple tools
Packed by color box",6100,TOTAL,Batteries & Chargers
TFBCPK2212,P20S Lithium-Ion battery and charger kit,"Voltage: 20V
With 2pcs lithium-ion battery pack(TFBLI20011)
With 1pcs charger(TFCLI2001)
Lithium-ion battery pack(TFBLI20011):
Lithium-ion 2.0Ah battery
LED battery power indicator
One battery fits all P20S multiple tools
Fast intelligent charger(TFCLI2001):
Input voltage:220-240V~50/60Hz 
Output voltage:20V
Output current:2A
Packed by double blister",13950,TOTAL,Batteries & Chargers
TFBCPK1222,P20S Cordless battery and charger kit,"Voltage: 20V
With 2pcs lithium-ion battery pack(TFBLI20011)
With 1pcs charger(TFCLI2001)
Lithium-ion battery pack(TFBLI20011):
Lithium-ion 2.0Ah battery
LED battery power indicator
One battery fits all P20S multiple tools
Fast intelligent charger(TFCLI2001):
Input voltage:220-240V~50/60Hz 
Output voltage:20V
Output current:2A
Packed by double blister",13950,TOTAL,Batteries & Chargers
TFBLI2002,Cordless battery pack,"Voltage:20V
Lithium-Ion 4.0Ah battery
LED battery power indicator
Suitable for 20V multiple toolsPacked by color box",10400,TOTAL,Batteries & Chargers
TFBLI20021,Cordless battery pack,"Voltage: 20V
Lithium-Ion 4.0Ah battery pack
LED battery power indicator
One battery fits all P20S multiple tools
Packed by color box",10600,TOTAL,Batteries & Chargers
TFBLI20531,Lithium-Ion battery pack,"Voltage: 20V
Lithium-Ion 5.0Ah battery pack
LED battery power indicator
One battery fits all P20S multiple tools
Packed by color box",13200,TOTAL,Batteries & Chargers
TFCLI2001,Fast intelligent charger,"Voltage:20V
Charge current:2A
Charges 20V 2.0Ah battery in 1Hr
Charges 20V 4.0Ah battery in 2Hr
Packed by color box",2900,TOTAL,Batteries & Chargers
TFCLI20411,P20S battery charger,"Input voltage:220-240V~50/60Hz 
Output voltage:21V
Output current:4A
Packed by color box",5400,TOTAL,Batteries & Chargers
TCLI2034,P20S battery charger,"Input voltage: 220-240V~50/60Hz
Output voltage: 21V
Output current: 4A
Accepts up to 2pcs P20S battery packs
Dual active battery ports for simultaneously charging
Packed by color box",9700,TOTAL,Batteries & Chargers
TCLI2024,Fast intelligent charger,"Voltage:20V_x000D_
Charge current:4A_x000D_
Charges 20V 2.0Ah battery in 0.5Hr_x000D_
Charges 20V 4.0Ah battery in 1Hr
Packed by color box",10800,TOTAL,Batteries & Chargers
TFCLI2082,P20S battery charger,"Input voltage: 220-240V~50/60Hz
Output voltage: 20V
Output current: 4A+4A
Accepts up to 2pcs P20S battery packs
Dual active battery ports for individually charging
Packed by color box",11200,TOTAL,Batteries & Chargers
TFCLI2064,P20S battery charger,"Input voltage:220-240V~50/60Hz 
Output voltage:20V
Output current:4A
Accepts up to 6 P20S  battery packs
Sequentially charges batteries
Packed by color box",11900,TOTAL,Batteries & Chargers
TOSLI250608,Cordless 4 pcs combo kit,"Brushless cordless impact drill:
Brushless motor
Voltage: 20V
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 96Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light

Cordless work lamp:
Voltage:20V
LED power dissipation:22.5W
Lumens:High:2000±10% Medium:1400±10% Low:800±10%
3 Brightness modes
Metal hanger
Ergonomic grip with softgrip
Ultra long irradiation distance
The LED lamp head can be swivelled through 130° degrees

Cordless heat gun:
Voltage:20V
Temperature:30-550°C
Airflow:100/200 L/min
Adjustable temperature with LCD display for precise control

Cordless impact wrench:
Brushless motor
Voltage: 20V
Square drive: 3/4""
No-load speed: 0-900/0-1200/0-1800rpm
Impact rate: 0-1800/0-2000/0-2200bpm
Fastening torque: 1350Nm
Nut-Busting torque: 1900Nm
Include:
Brushless cordless impact drill
3 Pcs wood flat drill bits(16.19.22mm)
3 Pcs masonry drill bits(5.6.8mm)
3 Pcs HSS drill bits(4.5.6mm)
2 Pcs 65mm impact screwdriver bits(PH2+PH2,PH2+SL6)

Cordless heat gun
1 Pcs reduction nozzle
1 Pcs reflector nozzle
1 Pcs flat nozzle
1 Pcs scraper

Cordless impact wrench
3 Pcs sockets(27 30 32mm)
Integrated work light

2 Pcs 5.0Ah battery pack(TFBLI20031)
1 Pcs charger (TFCLI20411)

Packed by carrying case",104900,TOTAL,Power Tools
TOSLI240969,Cordless 4 pcs combo kit,"Voltage: 20V
With 1pcs Cordless impact wrench(TIWLI20401)
With 1pcs Compact Brushless Cordless Impact Drill(TIDLI206681)
With 1pcs Cordless multi-tool(TMLI2022)
With 1Pcs Cordless heat gun(TBLI2003)
Cordless impact wrench(TIWLI20401):
Brushless motor
Square drive: 1/2""
No-load speed: 0-1600/0-1900/0-2300rpm
Impact rate: 0-2100/0-2500/0-2900bpm
Fastening torque: 400Nm
Nut-Busting torque: 550Nm
Compact Brushless Cordless Impact Drill(TIDLI206681):
Brushless motor
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 66Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
Cordless multi-tool(TMLI2022):
No-load speed: 5000-20000rpm
Oscillation angle: 3.2°
6 speed adjustment
Cordless heat gun(TBLI2003):
Temperature:30-550°C
Airflow:100/200 L/min
Adjustable temperature with LCD display for precise control
Include:
3 Pcs sockets(17,19,21mm)
47 Pcs accessories
3 Pcs masonry drill bits
1 Pcs flexible scraper
1 Pcs cutting saw blade
1 Pcs segment saw blade
1 Pcs Hex key
1 Pcs sanding base
3 Pcs sanding paper
1 Pcs reduction nozzle
1 Pcs reflector nozzle
1 Pcs flat nozzle
1 Pcs scraper
2 Pcs 5.0Ah Battery pack (TFBLI20531)
1 Pcs charger (TFCLI2001)
Charge volts:220-240V~50/60Hz
Packed by carrying case",61000,TOTAL,Power Tools
